text_to_annotate,Hate_pos,Disagree
An extremely important and illustrative post by Anonymous Conservative on the silent takeover of American society. Please read. https://www.anonymousconservative.com/blog/of-corr...,0,0
#AlexJones #Infowars #FreeSpeech #PoliticalCensorship https://youtu.be/h0yhtgdZYDI,0,0
"I was a solider, it I sort of a right of passage to get a tattoo. It is symbolism of your tolerance for pain. Weak pussies would not know.",0.25,0
"My brother was terminal when his cancer was discovered.  He was younger than I am.  That was a. ..difficult moment.  I  was with him and while I was  stunned, he was angry.  Understandably.  ",0,0
"Well you may not have a problem with Jews, but they have a problem with you!",0.5,1
"The way things are going in western Europe, I might very well move to Poland within the next decade.",0,0
Have you tried telling all this to AQ? You should. See what they say.,0,0
"An illegal immigrant from Mexico stands accused of killing college student Mollie Tibbetts and dumping her body in an Iowa cornfield — after he allegedly accosted her during a July 18 jog and she threatened to call police. Cristhian Bathena Rivera, 24, was charged with first-degree murder. Just another nail to build that wall NOW!!!!!!!!!!!!!!!!!",0.25,0
I wonder about this. Wouldn't they feel it more if we just enjoyed our usual Netflix but boycotted their lousy show so it would get low ratings? Isn't that a louder statement?,0,0
Hollywood Rewrites History - Erases US Flag Display in New Movie on Moon Landing -- It Doesn't Fit Their Narrative | TGP http://bit.ly/2oqRxbZ  #Hollywood #Movie #Film,0,0
Interesting that q means 'every' in the health field.  #WWG1WGA,0,0
I know how to recognize simple stupidity when I see it. Every moron who says something too dumb for words hides behind the claim that it was meant as a joke. You're the joke here. Ha ha.,0,0
"Britain is a country where a rich black man can set up a university scholarship for black people ONLY & if you question if it's 'racist' YOU are 'Racist'. But if a white man set one up for whites only, there would be no doubt it's 'racist' & he would likely be prosecuted for race hate.",0.25,0
"im not sure about this article.  the author kind of bounces around and the whole thing reads like a disingenuous appeal to emotions.  in one paragraph, Iran is a threat to peace yet in another Iran is a peaceful state with no bad intentions...",0,0
Maybe some one should tell that Suck Ass  Cohen from Tenn. This is what a Purple Heart looks like..,0.25,0
"Did you see recently that the first ever asteroid from interstellar space passed through our solar system? Of course detected and analysed by white people! The first true evidence of something travelling through space & detected by us! It was only 400m long and 40m wide & detected 90-590 million KM away! Yep, more amazing white race stuff!",0.25,0
"NICE!  Channeling Margaret Sanger!! You seem to have been raised by ""people"" that ADVOCATE the murder of millions of helpless humans!  They were no better than Nazis and neither are you! FOaD! Oh and Mute",0.25,0
Leftism is the science of converting fake victimology into real privilege.,0.5,1
I see what you did there.,0,0
Seems like we have a possible explanation for why Hillary coughed up green slime during her speech in Ohio.,0.25,0
Modern society would put Sodom and Gomorrah to shame.,0,0
"A lot of folks these days need to read the ""dickshunary""... LOL",0.25,0
"I didn't support Trump during the primaries because I thought he'd be too liberal.  He's been more conservative than I expected, but I still wish he'd start punishing businesses who hire illegal immigrants & cut 20% from the federal budget.",0,0
"Peace isn’t free, it will cost the corrupt everything.",0,0
"sick of #Q ""trust the plan"" - porn-hub convention",0,0
"#CodeRed folks! We are having a literal zombie epidemic. The hate, the vitriol, the mindless slobbering and blabbering. The screaming and the gesturing. Pushing tripping and shoving. Spitting and throwing. These people have LOST their humanity. This is what the #FakeNews media has done to us. #LowIQ #UsefulIdiots on the warpath. We must not engage. We must let this fire burn itself to the ground....",0.25,0
Globalist. RINO. Traitor. #DescribeJohnMcCainIn3Words http://magaimg.net/img/60mh.jpg,0,0
what cultural enrichment ideas can u come up with to diversify israel?,0,0
Nonsense.  So why does the Sun behave like this in Antarctican summer?,0,0
http://fortuneweek.com/news/northridge-montessori-school-launched-newly-redesigned-and-updated-website/0019453/: Have a look at this interesting page about Northridge Montessori Preschool. Their new  web site has ,0,0
"Parts of article look interesting, but astonishingly I didn’t see any mention of Wilson’s great 5-volume History of the American People.  Wilson was one of the worst presidents (3rd after FDR and Lincoln) but was an imaginative political thinker. Despite the pretensions of our ideological, Enlightenment-influenced Founders, it can hardly be denied that their writings and documents didn’t address the labor problems and unchecked influence of a few big businesses which arose in the later 19th century, even if Wilson’s solutions were wrong. We too face unforeseen challenges with the rise of natural tech monopolies. New challenges call for new solutions, whether or not they were envisioned as permissible by founding documents which after all are historical artifacts.",0,0
This is what fake news looks like!!!!!!!!!!!!!! ,0.25,0
This Halloween. Scare the stupid out of the Communist and Socialist.,0.75,0
EXCUSE ME? 🤔 DID YOU NOT UNDERSTAND WHAT I SAID ABOUT WHY I WAS DISGUSTED WITH ROSEANNE FOR KISSING GEORGE SOROS'S ASS? 🤔 I AM NOT A DEMOCRAT COMMIE YOU IDIOT!!!!! 😐 ,0,0
"So the media believes they have a 'gotcha' moment with Trump's off the record comments about the Canadian trade negotiation.But by owning it and admitting he said it, he's sending a message of honesty and transparency.The public knows how important these trade deals are to Trump, so if he'll own that publicly, is there much else he could lie about?Not really.",0,0
Chairman of CA Democrats wants to boycott in and out for donating to GOP.  Time for red states to boycott any business donating to democrats. #maga #gabfam https://twitter.com/EricBauman/status/103505678555...  @a @Amy @Microchip,0.25,0
"Don't be surprised when they take the vote to #releasethememo that all Dems vote against the measure and several GOP as well.  Making sure it fails by one or two votes.  They will claim ""they tried"" and move on.  The Swamp includes congressmen.  They will want the issue rather than the release.",0,0
"The Copts: Yay, Jesus!  Jesus: *frowning* Shut up, you guys.",0.4,1
As if #Bezo's #Amazon worker abuse wasn't enough. Now they're developing this damn electronic device to push them yet harder still and monitor them. Bezos is a #monster. ,0.25,0
Absolutely agree with everything...except perhaps compensating them. Muslims are raised to have strong hatred for non-Muslims and seek to subjugate them and force them to live as persecuted second class citizens - people as poisonous as this do not deserve the slightest bit of recompense or civility. Burma has the right idea.,0.5,1
“The riddles of God are more satisfying than the solutions of man.”,0,0
Welcome to Gab Cody Hill,0,0
"If you are right-wing and pay to send your daughter to college, you are retarded. Woman are submissive and much more prone to peer pressure. They are not equipped (NAWALT) to handle life in a re-education center. By sending her to college, you are destroying her future and increasing the risk she'll die in childless misery.",0.75,0
"And today everybody in the opposition knows that FSB (=Putin) bombed those homes so that it would help Putin to become a president, a national savior from Chechen terrorism during the Second Chechen War. ",0,0
LOL  This should get replies! ,0,0
Who among us doesn't pray every day for the left to initiate aggression?,0.5,1
"Alright, calm yer tits.",0,0
"For any of you who live in Niggerville, this is probably more effective than a Taser (go to 08:30) ",0.5,1
"I agree, but cuckeditude isn't a word. Cuckoldry is the term to describe the state of being a cuckold. The vocabulary nazi in me felt compelled to point this out.",0.25,0
Cancer Patients sentenced to die ? AB4 Vaccine – last resort experimental treatment ask or tell your physician  https://www.youtube.com/user/thetruthaboutcancer,0,0
"I have learned some great things from Perry, but I'm post Triber so I lean towards skywatchTv, Tom Horn, Steve Quayle Pastor Begley, Henry Gruver, David Lankford, Coach Dave, Dr. Micheal Heiser, Ravi Zacharias just to name a few. I think there's something to be learned from a lot of good teachers such as Rob Skiba even tho I don't believe in flat earth.",0,0
God Bless America and #NeverForget   I was there so I never will 🇺🇸🇺🇸🇺🇸,0,0
You DO NOT have a vagina nor are you a woman. What you DO have is a mental illness that needs treatment.,0.75,0
The entire west coast is under a tsunami watch... ,0,0
"I really enjoy the creativity of your posts!  But damn, they are starting to look like a Rothschild costume party.",0,0
National Socialist Korea...............Blood and Soil. ,0,0
PAY UP STORMY !!! 😂🤣😂🤣😂,0,0
I might bid on this..  Chilling 'I am Jack the Ripper' postcard resurfaces  http://www.foxnews.com/science/2018/04/26/chilling-am-jack-ripper-postcard-resurfaces.html,0,0
"While Democrats play the race card, we play the Trump cardJobs, Jobs, Jobs, equals a win for all https://canadafreepress.com/article/jobs-jobs-jobs...",0.4,1
"I am flexible, I do not require that I sell you the rope I hang you with.",0.25,0
"I was curious about the SPLC push to stop VISA and MasterCard from allowing transactions/donations to David Horowitz Freedom Center, so I went and donated. Piryx processed the credit card info just fine. I used VISA so don't know about MC. www.davidhorowitzfreedomcenter.org Don't know if something else changed since yesterday.",0,0
We need more Asians! Let’s replace the illegals with legal Chinese immigrants who want to work!,0.25,0
Scott Morrison is Australia's new PM after Malcolm Turnbull is forced out by party rivals - media reports #News https://breaking.iavian.net/article/189809,0,0
Never leaves home without it.,0,0
Bet it's a lot higher then that...,0.25,0
"Justice Anthony Kennedy is retiring .. I have my buckets ready, can't wait to catch all the liberal tears.  Fill 'em up !",0.5,1
Get  the physical body you've always wanted! : http://www.dietfoodprograms.com/totalgym/,0,0
Dem Keith Ellison says women lie. ,0.25,0
The Bolshevik revolution was led by Jews. Maybe you should learn about these things before you virtue signal like a fuckin kike.,1,0
The true test of the virtue of a person in the Current Year is to hear that person audibly state that white people have a right to their own spaces/neighborhoods/communities/cities/nations. #prowhite Free speech extends to free association.,0.5,1
I disagree with InfoWars and Alex Jones about 95%.  But will defend to the death his right to speak #EvelynBeatriceHall,0,0
Pompeo is a BEAST!! ,0.75,0
"So I get accused of being an Islamophobe by a Muzlime on Twitter, I agree with him that I am an Islamofauxb and tell him why and I'm the one who gets suspended?",0.75,0
#RedHen is blocking phone calls. #Shocking #SarahSanders,0,0
Used to look up to Sweden as a good example of how to do things. That country is a mess these days.,0.25,0
"You can argue with Me all day long...but GOOD LUCK arguing with HE who Created YOU.   Probably GOD appointed Me before I was conceived or before even my parents were conceived ....to tell YOU like it is, in HIS Name and in HIS Authority....TODAY.",0,0
Liberalism is the idea that all forms of mental illness should be accepted. Those who rebel against Liberalism are labeled outcasts or harbingers of hate or less than a liberal. The better than you attitude comes with being of the liberal mindset. Less than humble and mightier than you. Always greater than you.,0.5,1
You are Fake News. The USA and Texans Hate You. Now Fuck off.  @a @wocassity,0.25,0
Rest from work? These rats having done any real work since 1945.,0,0
"#USA #FED is raising #interest #rates w/ the #Trump #Trade sanctions on countries joining #China 'One Road, one belt' multinational economic initiative; #Germany #Turkey #China #Russia #Iran #Pakistan. This will greatly hurt #EU #Economic zone; benefiting #USA #Economy by 2020. China's Debt/Credit ratio is too weak. https://tinyurl.com/yba47ucy",0.25,0
I need to post here and fag up the place more and corrupt it with degeneracy,0.25,0
"Actually, industry bastardized the insurance pools and then rigged the markets with patents and incompatible insurance models. I work in the industry so I understand what actually happened. Blaming those in the bastardized pools removes blame from the companies who reap the rewards. 🤔✌",0,0
The P in #ESPN stands for Politics! They are no longer a sports network. They are right up there with #CNN #ESPN #Q #Qanon #QArmy #MAGA #MakeAmericaGreatAgain #KAG #KeepAmericaGreat #GreatAwakening #WalkAway #WalkAwayFromDemocrats #Trump #BoycottESPN #BoycottNFL,0,0
https://youtu.be/wjpFMS8iwVc: Isrotel Dead Sea Hotel  | https://goo.gl/BkTajf |Isrotel Dead Sea Hotel Dead Sea   - YouTube,0,0
"I know this might seem like old news, but I think it's important to show what looks like it could be an attempt, by mainstream media, to dox the jurors for the Manafort case. https://needtoknow.news/2018/08/judge-refuses-cnn-... #news",0,0
"Restore the Imperial House of Brazil. The world hasn't yet seen how great it can be. You might be able to *GET* the book 'Democracia, o Deus que Falhou', by Hans-Hermann Hoppe, if you visit this link: https://libgen.pw/item/adv/5a7007323a04464df78edc6...",0,0
"A Protestant (who doesn't even believe in the Trinity) doesn't get to opine about who is and isn't Pope. Francis may be making the Borgia Popes look holy, but he's still Pope. Unfortunately.http://voxday.blogspot.com/2018/08/archbishop-to-f...",0,0
"I didn't realize how many new followers I had gained in recent months on here. As much as I loathe social media today, I feel my voice would be better shared with the good people of Gab.ai. As such, I have decided to communicate and share my takes on today's world exclusively though Gab as much as possible going forward!",0,0
I know what could stop all that crying...,0,0
"I already love it here, the thing I value most is freedom. At least here I am free to speak, don't have to worry about what I write like in Facebook and Twitter.",0,0
"Andrew Jackson once said something to the effect of "" The supreme court has made their decision. Now, let's see them enforce it"".",0,0
NEON REVOLT is an AMAZING DIGGER! ,0,0
BREAKING: Armed Citizen Kills Mass Shooter At Oklahoma Restaurant https://www.dailywire.com/news/31077/breaking-armed-citizen-kills-mass-shooter-oklahoma-ryan-saavedra ,0,0
We the people want Comey and more jailed for #TREASON ,0.25,0
Must watch: new texts released.   Wouldn't be great if Page turned on Strzok to get a Plea agreement?  Wonder why we didn't get these texts until now?  Lots of stuff not adding up with these two.,0,0
Israel has not yet learned how to be multicultural yet. Israel is';t gonna be the homogeneous nation it once was and we Europeans are gonna play a great part in that. :),0,0
The “Left” sells out for money.  Whether it’s $200 in stamps or a giant mansion in San Fran.  They will protect their handout.  Unlike folks like me who enjoy the challenge of working and earning something on my own.,0,0
"Shouldn't Gab.ai be hosted outside the USA in say, like Switzerland or Iceland?  Seems to me Gab will be harassed non-stop if it stays in the USA.",0,0
"By the way, folks, today is National Pizza Day (here in the States). I'm taking the Bride out (after dropping the Whoops Baby at a teen lock-in at church) for a nice meal at a non-chain pizza joint (they also have wonderful sandwiches). Make sure you celebrate! :-)",0,0
"I suspect the person behind at least one of the current incantations of 'Q' is actually somewhat smart. They started this ploy that Trump will declassify everything on the left--but only if the media asks him 'is Q real?' So, you might imagine this has all the 'qultists' in a tizzy. Cruel but effective. Unfortunately, it makes us look insane.",0,0
#VetoBeto #VoteCruz 🇨🇱🇨🇱🇨🇱 Roll call for #Texas. Who is still.out there? #KeepTexasRed,0,0
Mötley Crüe - 'Red Hot' - Military Salute Shout at the Devil album 1983 https://youtu.be/C60yP9VH9bQ,0,0
"𝙽𝚊𝚛𝚛𝚊𝚝𝚒𝚟𝚎 http://gablog.cdh.ucla.edu/2018/08/narrative/  'So, for example, the writers on the Power Lineblog have a kind of running gag where they point out references in the Minnesota media to “Minnesota men” who commit some kind of crime or are arrested for some terrorist plot. Invariably, the “Minnesota man” is a Somali Muslim immigrant, who, indeed, most likely has a Minnesota addr...",0.25,0
Guess Who Just Paid For The Wall? Mexico! https://townhall.com/columnists/wayneallynroot/201... #MAGA #TAOTD #PresidentTrump,0.25,0
66% of Black households are single parent. This is the problem not racism. Black people must fix the dissolution of the Black nuclear family before any mention of racism. Broken homes in the Black community create all problems race hustlers misrepresent as symptoms of racism.  Wake up Black people! https://www.youtube.com/watch?v=Lg8Oq_Sd3Bw&t=...,0.25,0
"IMO-If there is anything good anywhere in the world, America had something to do with it.",0,0
Credit Vlad Tepesblog Interview with club owner where 15 to 20 migrants attacked patrons with weapons 1080p https://youtu.be/ere-6mGE-oE,0.2,0
Watch Steve Bannon's Full Interview With MSNBC's Ari Melber | The Beat With Ari Melber https://youtu.be/oNiE0YIx5w0 via @YouTube,0,0
Woman is torn to pieces by pack of four pitbulls who ‘chewed on her for 40 minutes’ https://www.thesun.co.uk/news/6252465/woman-eaten-pit-bulls-dogs-terri-cosby-oklahoma-city/,0,0
Fantastic investigative work done by Corey Lynn: Connecting the dots between the global warming scam and child trafficking..Clinton connection of course. Shipwrecked on Ten Islands with Clinton's and Brandson https://coreysdigs.com/clinton-foundation/shipwrec...,0,0
"RT @JamesHasson20: “F*ck the police,” “no USA at all,” the mostly peaceful anti-hate protestors chanted as they threw smoke bombs at cops and broke journalists’ equipment.",0,0
"Sarah Palin's life would have been so much better if she'd picked up the phone in 2008 and said 'Hello Senator ... Vice President? Oh, HELL NO!'. https://www.breitbart.com/big-government/2018/08/2...",0,0
Beware seagulls everyone. I just walked past a non-flying chick on the footpath.... its bloody parents decided I needed shitting on so they dive bombed me. Head was covered. On the bright side I now know i can walk for 5 minutes and get into the shower back home without breathing in at all....😀,0,0
"Feminsts and sjws gets owned! Cringe Compilation! 2017!   https://youtu.be/_brlSXRilLg  Core Media Published on Oct 21, 2017 SJW Getting Owned - FEMINIST CRINGE COMPILATION 2017☺(SJW vs LOGIC) ",0,0
Because no one ever sees the ventriloquist's lips move !,0,0
Never trust the #DeepState or their legacy media MSM stooges. #Novichok #Russia #FascistBritain,0,0
https://www.nationalreview.com/2018/06/ireland-abortion-referendum-what-is-legal-now-mandatory/?utm_source=Sailthru&utm_medium=email&utm_campaign=NR%20Daily%20Monday%20through%20Friday%202018-06-14&utm_term=NR5PM%20Actives  ,0,0
"Some people get ""Peace Prizes.""  Some people advance actual peace.  What does it say that these are seldom if ever the same people?",0,0
"I just thinking about the entire Russian conspiracy and I just thought at something that doesn't make sense. It's about the Steele Dossier. We are told by the press and Democrats that Russians are not to be trusted. Yet they took everything that Christopher Steele obtained from Russian contacts seriously. Confusing, much?",0.25,0
They havent told you>>>>>>They say voting for a dem w/b civility back to US. That was what Hillary said. hahahaahah. In the meantime people are committing suicide murder in her name.,0,0
I can and I do...it's just painful. So not as much as I would like to.,0,0
Yey for gay! Fuckin Obama social experiments.  https://www.nbcnews.com/feature/nbc-out/navy-drag-...,0.25,0
Making good people helpless  Will NOT make bad people harmless,0,0
"In 2004, Sandy Berger, former National Security adviser to President Clinton, stole documents from the National Archives, and cut them up with scissors in order to hide one of Clinton's many messes. His punishment? He lost his Security Clearance for 3 years. President George W. Bush had the power to lift Berger's Security Clearance forever. But he did not. One more demerit for Dubya!",0,0
"And we need to see more of them in Movies, TV & banging white chicks. Now or its racism. And we will harass you if you don't.",0.5,1
The usually no comment FBI is providing cover for this news. http://www.foxnews.com/politics/2018/08/30/gohmert...,0.2,0
"Nope, read them, and they do not change history, or the fact that EVERYONE involved was manipulated by elite people of ALL races (mostly). ",0,0
"Yo @ZaneTyler classical liberals aka libertarians who support Trump are ON YOUR SIDE for the foreseeable future. You apparently just visited my profile and decided that I'm the enemy even though i'm out here day in and day out sticking up for Trump, Liberty, Freedom, and the United fucking States of America.",0,0
"May you grow still enough to hear the stir of a single snowflake in the air, so that your inner silence may turn into hushed expectation.",0,0
It’s beer-30!  #longweekend #camping,0,0
@Microchip consistently fucking with Twitter for years now has been one of the most valuable parts of the resistance to globohomo faggotry. You really should thank him for his efforts,0.25,0
"How the hell does David Hogg, the student that is spearheading the anti gun movement from Parkland, Florida have a blue checkmark on Twitter?",0.25,0
Sent 2 tweets to this TWIT .. one suggesting he check out the Gab.ai profile pages and search for a Pepe the Frog and secondly suggesting he look up difference between a meme and a documentary. ,0,0
"Well then, since you are open to it, you might also begin questioning the junk science of IQ, and the fact that scientists are constantly tripped up in the lies they tell.",0.25,0
And they walked. ,0.25,0
"If there was a Mid-Term election 'red landslide' in both New York and California wouldn't that cause some SM darlings to have meltdowns...it'd be so fun to watch. The 2016 elections weren't enough, a repeat is in order. So vote please, even if you despair that your vote 'counts' or not. 'There is no try, there is only do'.",0.25,0
Curious. A flat-earther whom I engaged with quite some time ago must have deleted all his posts. I've long suspected they're trolls. Good trolls they're not but trolls nevertheless.,0,0
Are the deep state supercomputers being taken out by #QAnon? CIA computers named snow white?,0,0
"This is so true, and so scary!",0,0
Just In: CNN REPORTER JUST CELEBRATED THE GOP TRAIN CRASH! ,0,0
"EU, UK, Russia, & China Join Together To Dodge US Sanctions On Iran",0,0
"There is no dignity in defeatism, there is no honour in appeasement, only an undignified, dishonourable end",0,0
I very much like the idea for removal of the mosques but the North invaded the South...   http://www.paulcraigroberts.org/2017/08/21/lincoln-myth-ideological-cornerstone-america-empire/,0.25,0
Liberal collateral damage.,0.5,1
"Why aren't Democrats holding rallies to compete with Trump's massive cheering crowds? Two reasons, in my opinion:   1.They keep telling themselves, and everyone else, that rallies don't matter. To do so would be admitting that they do matter, and playing by his rules.   2.They have no one on their side that can draw a crowd like he can. They don't want be embarrassed, and exposed by tryin...",0.6,1
I ATTENDED PENN STATE IN 71     THIS IS FUCKING DISGUSTING,0.25,0
President Trump signed an executive order on Friday that will affect how you save for retirement. https://www.foxbusiness.com/personal-finance/trump...,0,0
Fuck Neil Cavuto and all the rest of the blubbering big-mouth do-nothing Cucks who have accomplished exactly NOTHING against our enemies. God bless President Trump.  https://www.businessinsider.com/fox-news-host-neil...,0.25,0
"Amazing how the guy who wrote/directed the greatest libertarian TV show of all time (Firefly) and the greatest libertarian movie of all time (Serenity) turned into such a far-left idiot. Yeah, talking about 'male feminist' Trump-hating moron Joss Whedon.",0.5,1
Jacksonville shooter HAD A THERAPIST http://ow.ly/MaHH30lzOiO #tcot #tlot #p2 #redpill #MAGA,0,0
"If you are looking for a White Pill in regards to the good things happening within the Nationalist Community, give this article by @WhiteArtCollective a read!",0,0
"New Evidence suggests #LasVegas Shooter #StephenPaddock ran a #CIA #ChildTrafficking Ring.  The appalling LasVegas massacre was never adequately explained, and the smell of a cover up was overwhelming.. 'Alleged Las Vegas shooter, Stephen Paddock, ran a drug running and child trafficking company – making millions of dollars in the process – according to explosive new evidence that threate...",0,0
"2/3 of Republicans and a 1/3 of independents think special counsel Robert Mueller’s #Russia investigation should be shut down, according to a new Axios poll. https://www.breitbart.com/big-government/2018/08/3...",0,0
"So, like what. 1/6 of the country... ",0,0
BREAKING: Judge Drops All Charges Against 3 'Extremist Muslims' Found At New Mexico Compound https://www.dailywire.com/news/35213/breaking-judg...?,0.75,0
Freeway of Love! 130 pink Cadillacs owners come from all over the country to line Detroit's streets as part of Aretha Franklin's funeral procession130 pink Cadillacs lined up in a procession for the Queen of Soul's Friday funeral in tribute to her 1985 hit Freeway of Love  http://www.dailymail.co.uk/news/article-6118841/Pi...,0,0
"READY now LIVE STREAM today, Thursday, June 28, at 5:00 pm ET (IN 15 MINUTES) on my YouTube channel https://www.youtube.com/live_dashboard ROSENSTEIN & WRAY at House Judiciary; HARD-LEFT INTOLERANCE goes VIOLENT; @realDonaldTrump to replace Justice Kennedy before mid-terms SUBSCRIBE - RETWEET",0,0
"From Newsweek = Raided by FBI, still thinks we should trust them",0,0
"So literally malignant children in adult skinsuits, checks out",0,0
I am REVAMPING my website! Injecting it with high octane Holy Ghost fuel! I pray this website will be a blessing to many for years to come! Praise the Lord! Please check it out today! Http://exceptyebeconverted.com God bless! #Gab #GabFam #KJV #AV1611 #BritFam #Christianity #BanIslam #MAGA #MGTOW #Jesus #Christ #HolySpirit #HolyBible #Prayer #God,0,0
That didn’t work for BLM😆 why would they think it’ll work for a bunch of spoiled white kids.,0.25,0
Looks funny to me. Now days EVERTHING is racist!,0.25,0
Donald Trump is the best president since 1970.,0,0
False dichotomy. There are way more options there. Or it could just be the prime example of the jews being probably the most persecuted people throughout history. Still dont understand how y'all hate them so much. ,0.4,1
"So, @paul47’s , are you saying I am a “Nobody...”? Because I do “give a rat’s ass about what happens in Nigeria”, particularly to Christians. What exactly have you done personally that has so strained you physically and mentally that you now suffer from “compassion fatigue”? Sounds a lot like you might be a snowflake who needs a safe space to help shield you from the mean old world...",0.25,0
#Feminism is an infection! https://www.youtube.com/watch?v=r_8hLQmfudM,0.5,1
"He is probably only a good goy, oblivious to the damage he is doing enforcing the Jew governments destructive laws in a desperate attempt to bring order to his crypto-jew riddled life. ",0.5,1
Just when you thought Theresa May couldn't capitulate any more .... #Brexit #BritFam http://uk.businessinsider.com/exclusive-theresa-ma...,0,0
"That's 3:13"" I'll never get back  :'-(",0,0
What happened to her? I'm binge listening to her YouTube videos right now!,0,0
"I took my new puppy for his first shots today, but the poor thing threw up everywhere. Maybe should have started him on something weaker than Sambuca.",0,0
"Man, this delusion neckbeard has a wife who doesn't have a forehead...That cone skull ranks at least a tenhead.  Geez.https://www.thesun.co.uk/news/7148589/inside-churc...",0.5,1
"That's a #CommonLaw country. Wouldn't there be a way for him to void the contract made with the #Government there? It can be done here in the #USA if you know how. #AdmiraltyLaw is #ContractLaw, or #StatuteLaw. We're not supposed to know that. 😉 #Research",0.25,0
"Unfettered free trade and unrestricted immigration are not conservative positions, they are radical ones that can only be justified by a narrow view that short term GDP maximization is the only good the government should strive towards.",0,0
I look forward to talking to them.,0,0
